# time  Id  DTNHost  true/false
873.0000 M302 14 true
881.0000 M295 7 true
881.0000 M275 7 true
881.0000 M330 7 true
881.0000 M309 7 true
881.0000 M326 7 true
881.0000 M303 7 true
882.0000 M294 13 true
882.0000 M338 13 true
882.0000 M300 13 true
886.0000 M305 0 true
887.0000 M317 4 true
887.0000 M315 4 true
887.0000 M339 4 true
887.0000 M292 4 true
887.0000 M345 4 true
895.0000 M333 19 true
895.0000 M337 19 true
895.0000 M323 19 true
895.0000 M296 19 true
895.0000 M310 19 true
895.0000 M314 19 true
895.0000 M301 19 true
895.0000 M304 19 true
896.0000 M298 12 true
896.0000 M312 12 true
896.0000 M331 12 true
896.0000 M300 12 true
896.0000 M321 12 true
896.0000 M347 12 true
896.0000 M349 12 true
896.0000 M322 12 true
900.0000 M299 18 true
900.0000 M301 18 true
900.0000 M342 18 true
900.0000 M329 18 true
906.0000 M335 9 true
906.0000 M320 9 true
918.0000 M374 2 true
918.0000 M371 2 true
918.0000 M372 2 true
918.0000 M377 2 true
918.0000 M327 2 true
918.0000 M367 2 true
918.0000 M319 2 true
918.0000 M346 2 true
918.0000 M333 11 true
918.0000 M347 11 true
918.0000 M360 11 true
918.0000 M324 11 true
918.0000 M343 11 true
919.0000 M330 5 true
919.0000 M373 5 true
919.0000 M336 5 true
919.0000 M339 5 true
919.0000 M358 5 true
921.0000 M370 17 true
921.0000 M342 17 true
921.0000 M365 17 true
923.0000 M330 8 true
923.0000 M351 8 true
923.0000 M361 8 true
923.0000 M362 8 true
923.0000 M326 8 true
923.0000 M363 8 true
925.0000 M352 15 true
925.0000 M369 15 true
925.0000 M328 15 true
925.0000 M366 15 true
925.0000 M340 15 true
933.0000 M381 14 true
933.0000 M379 14 true
933.0000 M378 14 true
933.0000 M369 14 true
933.0000 M355 14 true
933.0000 M341 14 true
936.0000 M333 10 true
936.0000 M375 10 true
936.0000 M370 10 true
936.0000 M368 10 true
936.0000 M360 10 true
936.0000 M359 10 true
936.0000 M388 10 true
936.0000 M385 10 true
936.0000 M343 10 true
941.0000 M399 3 true
941.0000 M319 3 true
941.0000 M374 3 true
941.0000 M372 3 true
941.0000 M316 3 true
941.0000 M377 3 true
941.0000 M315 3 true
941.0000 M350 3 true
941.0000 M339 3 true
941.0000 M376 3 true
941.0000 M391 3 true
941.0000 M392 3 true
941.0000 M327 3 true
941.0000 M367 3 true
942.0000 M400 1 true
942.0000 M334 1 true
942.0000 M319 1 true
942.0000 M353 1 true
942.0000 M371 1 true
942.0000 M389 1 true
942.0000 M348 1 true
942.0000 M327 1 true
942.0000 M367 1 true
944.0000 M383 7 true
944.0000 M363 7 true
947.0000 M380 4 true
947.0000 M374 4 true
947.0000 M372 4 true
947.0000 M354 4 true
947.0000 M402 4 true
947.0000 M350 4 true
947.0000 M391 4 true
947.0000 M392 4 true
951.0000 M393 13 true
951.0000 M378 13 true
951.0000 M347 13 true
951.0000 M380 16 true
951.0000 M332 16 true
951.0000 M369 16 true
951.0000 M364 16 true
951.0000 M396 16 true
951.0000 M395 16 true
951.0000 M318 16 true
951.0000 M344 16 true
951.0000 M345 16 true
955.0000 M375 19 true
955.0000 M370 19 true
955.0000 M408 19 true
955.0000 M390 19 true
963.0000 M330 6 true
963.0000 M356 6 true
963.0000 M402 6 true
963.0000 M387 6 true
963.0000 M382 6 true
963.0000 M326 6 true
966.0000 M398 9 true
970.0000 M359 0 true
970.0000 M411 0 true
970.0000 M418 0 true
970.0000 M364 0 true
970.0000 M413 0 true
970.0000 M367 0 true
978.0000 M431 2 true
978.0000 M421 2 true
978.0000 M400 2 true
978.0000 M392 2 true
978.0000 M414 2 true
978.0000 M435 11 true
978.0000 M432 11 true
978.0000 M408 11 true
978.0000 M403 11 true
978.0000 M401 11 true
978.0000 M425 11 true
979.0000 M427 5 true
979.0000 M420 5 true
979.0000 M397 5 true
979.0000 M402 5 true
979.0000 M387 5 true
981.0000 M395 17 true
981.0000 M433 17 true
981.0000 M424 17 true
983.0000 M370 18 true
983.0000 M417 18 true
983.0000 M365 18 true
985.0000 M396 15 true
985.0000 M416 15 true
985.0000 M415 15 true
986.0000 M435 12 true
986.0000 M357 12 true
986.0000 M429 12 true
986.0000 M386 12 true
986.0000 M384 12 true
986.0000 M382 12 true
1002.0000 M398 8 true
1002.0000 M457 8 true
1002.0000 M438 8 true
1002.0000 M405 8 true
1002.0000 M427 8 true
1002.0000 M426 8 true
1002.0000 M383 8 true
1002.0000 M419 8 true
1003.0000 M432 10 true
1003.0000 M425 10 true
1003.0000 M462 10 true
1003.0000 M408 10 true
1003.0000 M404 10 true
1004.0000 M452 7 true
1004.0000 M407 7 true
1004.0000 M406 7 true
1004.0000 M427 7 true
1004.0000 M423 7 true
1004.0000 M422 7 true
1004.0000 M412 7 true
1010.0000 M458 3 true
1010.0000 M402 3 true
1010.0000 M465 3 true
1011.0000 M411 16 true
1011.0000 M416 16 true
1015.0000 M473 19 true
